x,y
4.1949,3.5641
4.2018,3.5068
4.2087,3.4242
4.2156,3.3182
4.2225,3.2647
4.2294,3.2169
4.2363,3.1578
4.2432,3.0949
4.2501,3.032
4.257,2.9674
4.2639,2.923
4.2708,2.8962
4.2777,2.8773
4.2846,2.8699
4.2915,2.8701
4.2984,2.8708
4.3053,2.8723
4.3122,2.8746
4.3191,2.8779
4.326,2.8825
4.3329,2.9071
4.3398,3.138
4.3467,3.1997
4.3536,3.2577
4.3605,3.3309
4.3674,3.4041
4.3743,3.4578
4.3812,3.524
4.3881,3.7259
4.395,3.8836
4.4019,4.0481
4.4088,4.1062
4.4157,4.1759
4.4226,4.2816
4.4295,4.4202
4.4364,4.5489
4.4433,4.6489
4.4502,4.7446
4.4571,4.8502
4.464,4.9574
4.4709,5.0817
4.4778,5.1974
4.4847,5.2204
4.4916,5.2351
4.4985,5.244
4.5054,5.2493
4.5123,5.2533
4.5192,5.2566
4.5261,5.2587
4.533,5.258
4.5399,5.2406
4.5469,5.2096
4.5538,5.1667
4.5607,5.0922
4.5676,5.0182
4.5745,4.9692
4.5814,4.9175
4.5883,4.7696
4.5952,4.6278
4.6021,4.54
4.609,4.4622
4.6159,4.3866
4.6228,4.3135
4.6297,4.1582
4.6366,4.0844
4.6435,4.0177
4.6504,3.8846
4.6573,3.8187
4.6642,3.7558
4.6711,3.6609
4.678,3.5005
4.6849,3.4223
4.6918,3.3657
4.6987,3.2952
4.7056,3.1549
4.7125,3.0269
4.7194,2.9745
4.7263,2.8131
4.7332,2.7586
4.7401,2.7081
4.747,2.6569
4.7539,2.61
4.7608,2.567
4.7677,2.5296
4.7746,2.4957
4.7815,2.4671
4.7884,2.441
4.7953,2.4154
4.8022,2.3956
4.8091,2.3868
4.816,2.3906
4.8229,2.4022
4.8298,2.4196
4.8367,2.4404
4.8436,2.467
4.8505,2.508
4.8574,2.5667
4.8643,2.6708
4.8712,2.8407
4.8781,2.964
4.885,3.0868
4.8919,3.2695
4.8988,3.5757
4.9057,3.5147
4.9126,3.6087
4.9195,3.9599
4.9264,4.1379
4.9333,4.285
4.9403,4.4237
4.9472,4.6888
4.9541,4.8037
4.961,4.9149
4.9679,4.9839
4.9748,5.1761
4.9817,5.3657
4.9886,5.4571
4.9955,5.5031
5.0024,5.5313
5.0093,5.5574
5.0162,5.5851
5.0231,5.6103
5.03,5.6288
5.0369,5.6366
5.0438,5.6134
5.0507,5.5685
5.0576,5.5355
5.0645,5.4987
5.0714,5.4456
5.0783,5.3702
5.0852,5.2579
5.0921,5.2141
5.099,5.1757
5.1059,5.1377
5.1128,5.0913
5.1197,4.9857
5.1266,4.8976
5.1335,4.8054
5.1404,4.7387
5.1473,4.6709
5.1542,4.574
5.1611,4.4414
5.168,4.3002
5.1749,4.1495
5.1818,4.1233
5.1887,4.0135
5.1956,3.8104
5.2025,3.7632
5.2094,3.6115
5.2163,3.5143
5.2232,3.4769
5.2301,3.393
5.237,3.3037
5.2439,3.2634
5.2508,3.2219
5.2577,3.1815
5.2646,3.1474
5.2715,3.1179
5.2784,3.0887
5.2853,3.0625
5.2922,3.0418
5.2991,3.0293
5.306,3.0257
5.3129,3.0237
5.3198,3.022
5.3268,3.0208
5.3337,3.0201
5.3406,3.0236
5.3475,3.1113
5.3544,3.1605
5.3613,3.2112
5.3682,3.4332
5.3751,3.5153
5.382,3.5455
5.3889,3.57
5.3958,3.6198
5.4027,3.7352
5.4096,4
5.4165,4.0856
5.4234,4.1131
5.4303,4.1669
5.4372,4.3071
5.4441,4.5652
5.451,4.6432
5.4579,4.7873
5.4648,4.9364
5.4717,4.9745
5.4786,4.9971
5.4855,5.0161
5.4924,5.0428
5.4993,5.073
5.5062,5.0885
5.5131,5.085
5.52,5.075
5.5269,5.061
5.5338,5.0452
5.5407,5.03
5.5476,5.0151
5.5545,4.9981
5.5614,4.9765
5.5683,4.947
5.5752,4.8913
5.5821,4.842
5.589,4.6492
5.5959,4.5539
5.6028,4.4867
5.6097,4.387
5.6166,4.2699
5.6235,4.1939
5.6304,4.1107
5.6373,4.0463
5.6442,3.8359
5.6511,3.7704
5.658,3.709
5.6649,3.596
5.6718,3.4951
5.6787,3.4285
5.6856,3.2711
5.6925,3.2166
5.6994,3.1017
5.7063,3.0648
5.7133,3.0127
5.7202,2.9255
5.7271,2.868
5.734,2.7856
5.7409,2.6047
5.7478,2.6627
5.7547,2.5614
5.7616,2.4459
5.7685,2.3591
5.7754,2.1848
5.7823,2.1409
5.7892,2.1177
5.7961,2.1035
5.803,2.0909
5.8099,2.0753
5.8168,2.0605
5.8237,2.051
5.8306,2.0526
5.8375,2.0712
5.8444,2.0942
5.8513,2.1104
5.8582,2.1228
5.8651,2.1366
5.872,2.1573
5.8789,2.1917
5.8858,2.3495
5.8927,2.5255
5.8996,2.7014
5.9065,3.1758
5.9134,3.3481
5.9203,3.4566
5.9272,3.5364
5.9341,3.6417
5.941,3.8246
5.9479,4.0053
5.9548,4.1936
5.9617,4.3241
5.9686,4.423
5.9755,4.5207
5.9824,4.6218
5.9893,4.7402
5.9962,4.8968
6.0031,4.9653
6.01,5.0191
6.0169,5.0582
6.0238,5.0824
6.0307,5.0916
6.0376,5.0897
6.0445,5.0828
6.0514,5.0709
6.0583,5.0541
6.0652,5.0303
6.0721,4.953
6.079,4.8924
6.0859,4.8395
6.0928,4.7989
6.0998,4.7514
6.1067,4.5357
6.1136,4.4028
6.1205,4.3298
6.1274,4.2805
6.1343,4.2174
6.1412,4.0721
6.1481,3.9247
6.155,3.8599
6.1619,3.7957
6.1688,3.7328
6.1757,3.6747
6.1826,3.6143
6.1895,3.5481
6.1964,3.4706
6.2033,3.3814
6.2102,3.266
6.2171,3.0802
6.224,3.0594
6.2309,2.9359
6.2378,2.8555
6.2447,2.8143
6.2516,2.7722
6.2585,2.7277
6.2654,2.6846
6.2723,2.6366
6.2792,2.5815
6.2861,2.5408
6.293,2.5209
6.2999,2.5036
6.3068,2.489
6.3137,2.4777
6.3206,2.4702
6.3275,2.467
6.3344,2.4684
6.3413,2.475
6.3482,2.4876
6.3551,2.5072
6.362,2.5369
6.3689,2.6558
6.3758,2.7446
6.3827,2.7976
6.3896,2.8654
6.3965,2.9887
6.4034,3.0261
6.4103,3.0678
6.4172,3.222
6.4241,3.3726
6.431,3.4819
6.4379,3.6467
6.4448,3.8144
6.4517,3.9365
6.4586,4.0431
6.4655,4.1375
6.4724,4.2254
6.4793,4.4339
6.4862,4.5122
6.4932,4.5443
6.5001,4.5649
6.507,4.5747
6.5139,4.5744
6.5208,4.566
6.5277,4.5512
6.5346,4.5314
6.5415,4.503
